code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
AR;6;60M;M;6.52;;Maebashi;JPN;Indoor;1999-03-07;Matt Shirvington;;;AUS;1978;Male
AR;6;60M;M;6.52;;Maebashi;JPN;Indoor;1999-03-07;Matt Shirvington;;;AUS;1978;Male
AR;3;60M;M;6.52;;Paris;FRA;Indoor;2009-02-13;José Carlos Moreira;;;BRA;1983;Male
AR;4;60H;M;7.52;;Gent;BEL;Indoor;2001-02-23;Shaun Bownes;;;RSA;1970;Male
AR;5;60H;M;7.41;;Birmingham;GBR;Indoor;2012-02-18;Liu Xiang;;;CHN;1983;Male
AR;1;60H;M;7.30;;Sindelfingen;GER;Indoor;1994-03-06;Colin Jackson;;;GBR;1967;Male
AR;2;60H;M;7.27;;Albuquerque;USA;Indoor;2024-02-16;Grant Holloway;;;USA;1997;Male
AR;6;60H;M;7.56;;Beograd;SRB;Indoor;2022-03-20;Chris Douglas;;;AUS;1997;Male
AR;3;60H;M;7.58;;Berlin;GER;Indoor;2022-02-04;Rafael Henrique Pereira;;;BRA;1997;Male
AR;3;60H;M;7.58;;Mondeville;FRA;Indoor;2022-02-09;Rafael Henrique Pereira;;;BRA;1997;Male
AR;3;60H;M;7.58;;Val-de-Reuil;FRA;Indoor;2022-02-14;Rafael Henrique Pereira;;;BRA;1997;Male
AR;3;60H;M;7.58;;Cochabamba;BOL;Indoor;2022-02-20;Rafael Henrique Pereira;;;BRA;1997;Male
AR;3;60H;M;7.58;;Beograd;SRB;Indoor;2022-03-20;Rafael Henrique Pereira;;;BRA;1997;Male
AR;4;800;M;1:43.98;;New York;USA;Indoor;2019-02-09;Michael Saruni;;;KEN;1995;Male
AR;5;800;M;1:45.26;;Valencia;ESP;Indoor;2008-03-09;Youssef Saad Kamel;;;BRN;1981;Male
